"month","year","url","row","bien","medida","cantidad","precio","total"
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,301.8,129.774
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","44","Blusa manga corta","Unidad",0.66,75.36,49.7376
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,259.5,132.345
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","46","Vestido entero","Unidad",0.5,202.17,101.085
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","47","Calzones/Bikinis","Unidad",1.23,24.97,30.7131
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","48","Brassier/sostén","Unidad",0.97,28.35,27.4995
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","49","Sandalias de cuero sintético","Par",0.44,173.51,76.3444
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","50","Traje completo","Unidad",0.5,203.9,101.95
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","51","Calzones","Unidad",1.43,17.36,24.8248
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","52","Calcetines","Par",1.39,17.61,24.4779
"Ene",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","53","Zapato de cuero sintético","Par",0.45,240.61,108.2745
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","1","Arroz","Libra",38,9.93,377.34
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","2","Frijol","Libra",34,10.39,353.26
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","3","Azúcar","Libra",30,7.91,237.3
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","4","Aceite","Litro",7,35.92,251.44
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","5","Posta de res","Libra",8,49.16,393.28
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","6","Posta de cerdo","Libra",5,51.14,255.7
