"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","1","Arroz","Libra",38,13.34,506.92
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","2","Frijol","Libra",34,17,578
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","3","Azúcar","Libra",30,12.7,381
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","4","Aceite","Litro",7,33.76,236.32
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","5","Posta de res","Libra",8,89.74,717.92
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","6","Posta de cerdo","Libra",5,69.94,349.7
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","7","Carne de aves","Libra",8,47.1,376.8
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","8","Chuleta de pescado","Libra",9,79.84,718.56
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","9","Leche","Litro",30,29.76,892.8
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","10","Huevos","Docena",7,51.51,360.57
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","11","Queso seco","Libra",9,66.15,595.35
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","12","Tortilla","Libra",57,16.87,961.59
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","13","Pinolillo","Libra",10,29.71,297.1
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","14","Pastas alimenticias","Libra",5,29.9,149.5
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","15","Pan","Libra",27,24.13,651.51
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","16","Tomate de cocinar","Libra",14,9.95,139.3
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","17","Cebolla blanca","Libra",8,33.68,269.44
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","18","Papas","Libra",15,15.39,230.85
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","19","Ayote","Libra",32,6.56,209.92
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","20","Chiltoma","Libra",3,23.96,71.88
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","21","Plátano verde","Libra",16,9.15,146.4
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","22","Naranja","Libra",46,6.16,283.36
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","23","Repollo","Libra",2,5.68,11.36
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","24","Jabón de lavar ropa","Unidad",12.55,14.54,182.48
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.89,80.83
"CB2019Sep",2019,"Sep","https://www.inide.gob.ni/docs/CanastaB/CB2019/CBSep2019.xls","26","Pasta dental","Unidad de 115 grs ",2.13,34.29,73.04
