"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","1","Arroz","Libra",38,12.69,482.22
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","2","Frijol","Libra",34,15.51,527.34
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","3","Azúcar","Libra",30,11.11,333.3
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","4","Aceite","Litro",7,35.62,249.34
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","5","Posta de res","Libra",8,85.99,687.92
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","6","Posta de cerdo","Libra",5,69.12,345.6
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","7","Carne de aves","Libra",8,40.3,322.4
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","8","Chuleta de pescado","Libra",9,77.81,700.29
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","9","Leche","Litro",30,27.09,812.7
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","10","Huevos","Docena",7,51.03,357.21
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","11","Queso seco","Libra",9,67.26,605.34
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","12","Tortilla","Libra",57,14.63,833.91
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","13","Pinolillo","Libra",10,27.12,271.2
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","14","Pastas alimenticias","Libra",5,25.78,128.9
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","15","Pan","Libra",27,20.87,563.49
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","16","Tomate de cocinar","Libra",14,16.95,237.3
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","17","Cebolla blanca","Libra",8,27.22,217.76
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","18","Papas","Libra",15,21.09,316.35
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","19","Ayote","Libra",32,6.8,217.6
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","20","Chiltoma","Libra",3,38.58,115.74
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","21","Plátano verde","Libra",16,7.53,120.48
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","22","Naranja","Libra",46,5.75,264.5
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","23","Repollo","Libra",2,11.52,23.04
"CB2017Nov",2017,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBNov2017.xls","24","Jabón de lavar ropa","Unidad",12.55,12.39,155.49
