"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","1","Arroz","Libra",38,12.28,466.64,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","2","Frijol","Libra",34,27.11,921.74,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","3","Azúcar","Libra",30,9.74,292.2,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","4","Aceite","Litro",7,33.79,236.53,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","5","Posta de res","Libra",8,68.57,548.56,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","6","Posta de cerdo","Libra",5,62.51,312.55,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","7","Carne de aves","Libra",8,33.47,267.76,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","8","Chuleta de pescado","Libra",9,63.94,575.46,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","9","Leche","Litro",30,25.88,776.4,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","10","Huevos","Docena",7,45.85,320.95,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","11","Queso seco","Libra",9,59.27,533.43,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","12","Tortilla","Libra",57,12.99,740.43,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","13","Pinolillo","Libra",10,22.07,220.7,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","14","Pastas alimenticias","Libra",5,22.48,112.4,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","15","Pan","Libra",27,21.16,571.32,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","16","Tomate de cocinar","Libra",14,20.67,289.38,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","17","Cebolla blanca","Libra",8,23.73,189.84,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","18","Papas","Libra",15,14.88,223.2,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","19","Ayote","Libra",32,4.97,159.04,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","20","Chiltoma","Libra",3,47.47,142.41,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","21","Plátano verde","Libra",16,11.3,180.8,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","22","Naranja","Libra",46,5.07,233.22,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","23","Repollo","Libra",2,6.12,12.24,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","24","Jabón de lavar ropa","Unidad",12.55,13.07,164.0285,87
"CB2014Nov",2014,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBNov2014.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,2.36,66.0092,87
