"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","1","Arroz","Libra",38,18.51,703.38,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","2","Frijol","Libra",34,36.82,1251.88,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","3","Azúcar","Libra",30,14.98,449.4,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","4","Aceite","Litro",7,55.63,389.41,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","5","Posta de res","Libra",8,138.74,1109.92,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","6","Posta de cerdo","Libra",5,89.74,448.7,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","7","Carne de aves","Libra",8,56.05,448.4,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","8","Chuleta de pescado","Libra",9,96.66,869.94,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","9","Leche","Litro",30,39.16,1174.8,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","10","Huevos","Docena",7,71.43,500.01,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","11","Queso seco","Libra",9,122.75,1104.75,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","12","Tortilla","Libra",57,28.1,1601.7,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","13","Pinolillo","Libra",10,37.21,372.1,192
"CB2023Ago",2023,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2023/CBAgo2023.xlsx","14","Pastas alimenticias","Libra",5,44.16,220.8,192
