"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","1","Arroz","Libra",38,9.23,350.74,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","2","Frijol","Libra",34,16.61,564.74,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","3","Azúcar","Libra",30,7.02,210.6,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","4","Aceite","Litro",7,39.73,278.11,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","5","Posta de res","Libra",8,41.1,328.8,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","6","Posta de cerdo","Libra",5,46.92,234.6,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","7","Carne de aves","Libra",8,24.82,198.56,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","8","Chuleta de pescado","Libra",9,46.81,421.29,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","9","Leche","Litro",30,16.62,498.6,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","10","Huevos","Docena",7,33.96,237.72,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","11","Queso seco","Libra",9,41.3,371.7,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","12","Tortilla","Libra",57,11.09,632.13,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","13","Pinolillo","Libra",10,18.8,188,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","14","Pastas alimenticias","Libra",5,20.48,102.4,45
"CB2011May",2011,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/Cmay2011.xls","15","Pan","Libra",27,18.17,490.59,45
